nombre_normalizado,veredicto,categoria,metodo,razon
administracion y produccion agropecuaria mencion ganaderia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion y produccion agropecuaria mencion vides, frutales y cultivos",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion y soporte de redes,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion y soporte de redes computacionales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion, mencion en informatica",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion, mencion gestion empresarial",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion, mencion gestion municipal",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"administracion, mencion marketing y ventas",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administrador de programas sociales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administrador mencion gestion publica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administrador turistico,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administrador universitario de empresas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
adminstracion de empresas mencion marketing,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
advance administracion publica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
advance ingenieria comercial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
advance psicologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
advance trabajo social,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
advanced diploma in tourism business,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agente de ventas mencion visitador medico,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agente de ventas visitador medico,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agricola,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agricultura ecologica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agroindustrias,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronegocios con mencion en agroindustria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia (pce),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia (plan de continuidad de estudios),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia (plan de continuidad),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia (plan especial),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia continuidad de estudios,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia e ingenieria forestal,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia mencion zonas aridas y deserticas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia para ingenieros agricolas pce,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia para ingenieros de ejecucion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia plan especial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia programa de continuidad de estudios,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
agronomia y desarrollo rural sustentable,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"agronomia, adm. compl. para ingenieros de ejec. agricola",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"agronomia, adm.compl.para ingenieros de ejec.agricola",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"agronomia, adm.compl.para tecnicos universitarios en agricola",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"agronomia, plan continuidad de estudios",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
alimentacion y nutricion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis computacional de sistemas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis computacional de sistemas (modulos),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis de datos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis de sistemas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis de sistemas (4 semestres),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis de sistemas (5 semestres),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis de sistemas computacionales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis de sistemas con salida intermedia a programacion de microcomputadores,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis de sistemas rev,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis quimico,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis tributario,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis y gestion de procesos productivos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analisis y programacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analista de sistemas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analista en computacion cientifica / licenciatura en ciencia de la computacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analista financiero,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analista programador,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analista programador administracion de sistemas operativos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analista programador computacional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analista programador computacional pev,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analista programador computacional.pev,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analista programador en computacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analista programador mencion administracion de base de datos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analista programador mencion aplicaciones moviles y web,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"analista programador visual basic, net y java",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analista quimico,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
analitica de datos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
anestesiologia y reanimacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
animacion,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
animacion 3d,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
animacion digital,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
animacion digital 3d,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
animacion digital y diseno de videojuegos,EXCLUIR,,lexico,"Cine/audiovisual (se vincula a la videografía, no a la música)"
animacion digital y multimedia,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
animacion digital y videojuegos,EXCLUIR,,lexico,"Cine/audiovisual (se vincula a la videografía, no a la música)"
animacion y comics,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
animacion y diseno digital,EXCLUIR,,lexico,Artes visuales/plásticas
antropologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
antropologia social,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
antropologia social o fisica - arqueologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
antropologia social o fisica-arqueologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
antropologia sociocultural,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"antropologia, mencion antropologia social y arqueologia",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
antropologia-arqueologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
