nombre_normalizado,veredicto,categoria,metodo,razon
tecnico en administracion (modulos),EXCLUIR,,llm,"Programa técnico de administración, fuera del ámbito musical."
tecnico en administracion agropecuaria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion bancaria y financiera,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion bilingue,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion bilingue a distancia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresa,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresas con mencion finanzas y contabilidad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresas financieras,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresas financieras pev,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresas mencion comercializacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresas mencion comercio exterior,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresas mencion contabilidad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresas mencion contabilidad y finanzas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresas mencion finanzas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresas mencion finanzas o marketing,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresas mencion gestion turismo,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresas mencion informatica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresas mencion instituciones financieras,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresas mencion logistica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresas mencion logistica/op financieras/recursos humanos/contador general,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresas mencion marketing,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresas mencion marketing y ventas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresas mencion mkt/com ext,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresas mencion operaciones financieras,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresas mencion procesos logisticos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresas mencion recursos humanos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresas mencion rr.hh.,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresas mencion sistemas logisticos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de empresas rev,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"tecnico en administracion de empresas, plan especial",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de gestion de comercio exterior,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de infraestructura cloud,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de la produccion agropecuaria y agroindustrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de recursos humanos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de redes,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion de rrhh,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion en centros de salud,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion en organizacion sociales y comunitarias,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion en recursos humanos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion en salud,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"tecnico en administracion en salud ,plan especial",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"tecnico en administracion en salud, plan especial",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion en seguridad privada,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion financiera,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion general,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion hotelera,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion hotelera y resorts internacional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion juridica y legal,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion logistica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion mencion gestion municipal,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion mencion marketing digital,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion mencion recursos humanos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion municipal,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion plan especial (chanaral),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion publica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"tecnico en administracion publica, mencion gestion publica y administracion de empresas",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en administracion y gestion de salud,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en agricola,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en agricultura ecologica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en agroindustria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en agronegocios,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en agronomia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en alimentacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en alimentacion colectiva,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en alimentacion y dietetica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en alimentacion y nutricion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en alimentos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en ambientacion y vitrinismo,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
tecnico en analisis de datos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en analisis de sistemas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en analisis quimico,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en analisis y programacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en analitica de datos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en animacion 3d,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
tecnico en animacion digital,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
tecnico en apicultura,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en aplicaciones computacionales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en arquitectura,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en arquitectura y diseno,EXCLUIR,,lexico,Artes visuales/plásticas
tecnico en arsenaleria quirurgica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en arte y gestion cultural,EXCLUIR,,llm,El programa se centra en arte y gestión cultural sin mención explícita de música.
tecnico en artes culinarias,EXCLUIR,,lexico,Arte sin mención musical explícita
tecnico en artes y gestion cultural,EXCLUIR,,llm,"Al igual que el anterior, no indica contenido musical."
tecnico en asistencia juridica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en asistente de educacion diferencial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en asistente de parvulo,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en asistente dental,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en atencion del adulto mayor,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en auditoria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en auditoria computacional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en automatizacion e instrumentacion industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en automatizacion industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en automatizacion y control,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en automatizacion y control industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en automatizacion y robotica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"tecnico en bibliotecas, archivos y gestion documental",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en bibliotecologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en bibliotecologia y centros de informacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en bibliotecologia y documentacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en calidad de alimentos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en calidad y seguridad agroalimentaria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en ciber seguridad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en ciberseguridad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en ciencia de datos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en climatizacion y refrigeracion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en comercio electronico,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en comercio exterior,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en comercio exterior bilingue,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en comercio exterior de nivel superior,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en comercio exterior y mercados digitales,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en comercio internacional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en comercio internacional mencion tratados de libre comercio,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en comercio y transporte internacional,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en computacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en computacion e informatica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en comunicacion audiovisual,EXCLUIR,,lexico,"Cine/audiovisual (se vincula a la videografía, no a la música)"
tecnico en comunicacion audiovisual con mencion en direccion y produccion de television,EXCLUIR,,lexico,"Cine/audiovisual (se vincula a la videografía, no a la música)"
tecnico en comunicacion audiovisual digital,EXCLUIR,,lexico,"Cine/audiovisual (se vincula a la videografía, no a la música)"
tecnico en comunicacion digital,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en comunicacion social y relaciones publicas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en comunicacion y relaciones publicas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en comunicacon audiovisual,EXCLUIR,,lexico,"Cine/audiovisual (se vincula a la videografía, no a la música)"
tecnico en conectividad y redes,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en conectividad y redes (telematica),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en conectividad y seguridad de redes,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en conectividad y telecomunicaciones,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en conservacion y restauracion,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
tecnico en construccion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en construccion civil,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en construccion de obras menores,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en construccion en edificacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en construccion industrializada,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en construccion mencion edificacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en construccion mencion obras civiles,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en construccion sustentable,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en construccion y edificacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en construccion y rehabilitacion sustentable,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"tecnico en construccion, mencion obras civiles",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en construcciones civiles,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en contabilidad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en contabilidad general,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en contabilidad general mencion auditoria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en contabilidad rev,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en contabilidad y auditoria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en contabilidad y legislacion tributaria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en contabilidad y normativa tributaria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en control agroindustrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en control automatico de procesos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en control de calidad agricola y agroindustrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en control de gestion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en control industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en control y monitoreo remoto de procesos mineros,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en convivencia escolar,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en cosmetologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en cosmetologia y estetica integral,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en deporte,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en deportes,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en deportes y actividad fisica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en deportes y recreacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en desarrollo comunitario,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en desarrollo de aplicaciones moviles,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en desarrollo de aplicaciones multiplataforma,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en desarrollo de realidad virtual y aumentada,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en desarrollo de sistemas e integracion con ia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en desarrollo de videojuegos,EXCLUIR,,lexico,"Cine/audiovisual (se vincula a la videografía, no a la música)"
tecnico en dibujo de arquitectura y obras civiles,EXCLUIR,,lexico,Artes visuales/plásticas
tecnico en direccion y produccion de television,EXCLUIR,,semantico,Subárea CINE Artes sin señal musical en el nombre
tecnico en diseno de ambientes,EXCLUIR,,lexico,Artes visuales/plásticas
tecnico en diseno de espacios y equipamiento,EXCLUIR,,lexico,Artes visuales/plásticas
tecnico en diseno de vestuario,EXCLUIR,,lexico,Artes visuales/plásticas
tecnico en diseno de videojuegos,EXCLUIR,,lexico,"Cine/audiovisual (se vincula a la videografía, no a la música)"
tecnico en diseno digital,EXCLUIR,,lexico,Artes visuales/plásticas
tecnico en diseno digital y publicitario,EXCLUIR,,lexico,Artes visuales/plásticas
tecnico en diseno grafico,EXCLUIR,,lexico,Artes visuales/plásticas
tecnico en diseno grafico de nivel superior,EXCLUIR,,lexico,Artes visuales/plásticas
tecnico en diseno grafico publicitario,EXCLUIR,,lexico,Artes visuales/plásticas
tecnico en diseno grafico y produccion digital,EXCLUIR,,lexico,Artes visuales/plásticas
tecnico en diseno industrial,EXCLUIR,,lexico,Artes visuales/plásticas
tecnico en diseno publicitario,EXCLUIR,,lexico,Artes visuales/plásticas
tecnico en diseno publicitario multimedial,EXCLUIR,,lexico,Artes visuales/plásticas
tecnico en diseno y comunicacion digital,EXCLUIR,,lexico,Artes visuales/plásticas
tecnico en diseno y contenido para plataformas digitales,EXCLUIR,,lexico,Artes visuales/plásticas
tecnico en diseno y produccion digital,EXCLUIR,,lexico,Artes visuales/plásticas
tecnico en ecoturismo,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en ecucacion parvularia y nb1,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en edificacion sustentable,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en edificacion y terminaciones,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion basica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion de parvulos,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion de parvulos con especializacion en aula inclusiva,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion diferencial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion diferencial e inclusion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion especial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion especial y diferencial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion fisica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion general basica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion inicial y basica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion parvularia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion parvularia 1 y 2 basico,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion parvularia 1° y 2° basico,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion parvularia con mencion montessori,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion parvularia especializacion en integracion escolar,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion parvularia mencion educacion diferencial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion parvularia mencion integracion escolar,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion parvularia y basica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion parvularia y basica mencion educacion diferencial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion parvularia y educacion basica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion parvularia y educacion general basica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion parvularia y nb1,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion parvularia y nb1 (plan especial),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion parvularia y primer ciclo basico,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion parvularia y primer ciclo de educacion basica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion parvularia y primer ciclo de ensenanza general basica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion parvulos 1 y 2 basico,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en educacion social infanto juvenil,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en electricidad,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en electricidad industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en electricidad y automatizacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en electricidad y automatizacion industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en electricidad y electronica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en electricidad y electronica industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"tecnico en electricidad y electronica, con especializacion en fotovoltaico",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en electricidad y energias renovables,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en electrico,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en electromecanica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en electromecanica automotriz,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en electromovilidad y autotronica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en electronica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en electronica con mencion control automatico,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en electronica industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en electronica y automatizacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en energia mencion eficiencia energetica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en energia solar,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en energias renovables,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en energias renovables y eficiencia energetica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria (plan especial),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria (programa especial),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria comunidad y familia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria con mencion en anestesiologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria con mencion en ginecobstetricia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria con mencion en oncologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria con mencion en urgencia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria con mencion oncologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria de nivel superior,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria e instrumentacion quirurgica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria en imagenologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria gineco-obstetrica y neonatal,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria ginecoobstetrica y neonatal,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria medica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria mencion anestesiologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria mencion atencion a personas mayores,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria mencion dialisis,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria mencion en anestesiologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria mencion en ginecobstetricia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria mencion en ginecoobstetricia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria mencion en oncologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria mencion en pediatria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria mencion en urgencia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria mencion geriatria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria mencion ginecobstetrica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria mencion ginecobstetricia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria mencion instrumentacion quirurgica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria mencion instrumentista quirurgico,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria mencion oncologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria mencion pediatria,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria mencion salud mental,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria mencion terapias complementarias,EXCLUIR,,lexico,Terapia no musical
tecnico en enfermeria mencion urgencia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria obstetrica,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria plan especial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria podologia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria radioterapia e imagenologia,EXCLUIR,,lexico,Terapia no musical
tecnico en enfermeria y procedimientos de apoyo a la rehabilitacion,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"tecnico en enfermeria, plan especial",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"tecnico en enfermeria, plan especial con nivelacion",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
"tecnico en enfermeria, plan especial estandar",EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en enfermeria-programa especial para trabajadores de la salud,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en estetica corporal integral,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en estetica integral,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en exploracion minera,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en explotacion minera,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en fabricacion y montaje industrial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en farmacia,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en farmacia (plan especial),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en farmacia (programa especial),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en farmacia asistencial,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en finanzas,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
tecnico en fisioterapia,EXCLUIR,,lexico,Terapia no musical
tecnico en fotografia,EXCLUIR,,lexico,Artes visuales/plásticas
tecnico en fotografia periodistica,EXCLUIR,,lexico,Artes visuales/plásticas
tecnico en fotografia periodistica publicitaria,EXCLUIR,,lexico,Artes visuales/plásticas
