nombre_normalizado,nombre_original,veredicto,categoria,metodo,razon
administracion publica (ingreso especial),ADMINISTRACION PUBLICA (INGRESO ESPECIAL),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica (mencion e-government),ADMINISTRACION PUBLICA (MENCION E-GOVERNMENT),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica (pce),ADMINISTRACION PUBLICA (PCE),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica (plan de continuidad),ADMINISTRACION PUBLICA (PLAN DE CONTINUIDAD),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica (plan especial),ADMINISTRACION PUBLICA (PLAN ESPECIAL),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica (prosecucion),ADMINISTRACION PUBLICA (PROSECUCION),EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica - continuidad,ADMINISTRACION PUBLICA - CONTINUIDAD,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica - tecnico,ADMINISTRACION PUBLICA - TECNICO,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica continuidad de estudios,ADMINISTRACION PUBLICA CONTINUIDAD DE ESTUDIOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica mencion en seguridad publica y gestion de riesgos,ADMINISTRACION PUBLICA MENCION EN SEGURIDAD PUBLICA Y GESTION DE RIESGOS,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
administracion publica mencion gestion desarrollo local y regional,ADMINISTRACION PUBLICA MENCION GESTION DESARROLLO LOCAL Y REGIONAL,EXCLUIR,,lexico,Sin señal léxica de música ni contexto musical
